Time (d), pH-MC1, Time (d), DO-MC1, Time (d), pH-MC2, Time (d), DO-MC2
   2.432488,  7.49,    2.432558,  7.30,    2.432651,  7.40,    2.432697,  7.36
   2.439433,  7.49,    2.439502,  7.30,    2.439595,  7.40,    2.439641,  7.36
   2.446377,  7.49,    2.446447,  7.29,    2.446539,  7.40,    2.446586,  7.35
   2.453322,  7.49,    2.453391,  7.29,    2.453484,  7.40,    2.453530,  7.37
   2.460266,  7.49,    2.460336,  7.29,    2.460428,  7.40,    2.460474,  7.39
   2.467211,  7.49,    2.467280,  7.30,    2.467373,  7.40,    2.467419,  7.38
   2.474155,  7.49,    2.474225,  7.28,    2.474317,  7.41,    2.474363,  7.40
   2.481100,  7.48,    2.481169,  7.29,    2.481261,  7.41,    2.481308,  7.41
   2.488044,  7.49,    2.488113,  7.28,    2.488206,  7.41,    2.488252,  7.40
   2.494988,  7.49,    2.495058,  7.29,    2.495151,  7.41,    2.495197,  7.42
   2.501933,  7.49,    2.502002,  7.28,    2.502095,  7.41,    2.502141,  7.43
   2.508877,  7.48,    2.508947,  7.29,    2.509039,  7.41,    2.509086,  7.42
   2.515822,  7.49,    2.515891,  7.29,    2.515984,  7.42,    2.516030,  7.42
   2.522766,  7.49,    2.522836,  7.30,    2.522928,  7.42,    2.522974,  7.44
   2.529711,  7.49,    2.529780,  7.30,    2.529873,  7.42,    2.529919,  7.42
   2.536655,  7.49,    2.536725,  7.29,    2.536817,  7.42,    2.536863,  7.43
   2.543600,  7.49,    2.543669,  7.30,    2.543761,  7.42,    2.543808,  7.44
   2.550544,  7.49,    2.550613,  7.31,    2.550706,  7.42,    2.550752,  7.43
   2.557488,  7.49,    2.557558,  7.31,    2.557651,  7.42,    2.557697,  7.43
   2.564433,  7.49,    2.564502,  7.29,    2.564595,  7.43,    2.564641,  7.44
   2.571377,  7.49,    2.571447,  7.30,    2.571539,  7.43,    2.571586,  7.43
   2.578322,  7.49,    2.578391,  7.33,    2.578484,  7.43,    2.578530,  7.42
   2.585266,  7.49,    2.585336,  7.34,    2.585428,  7.43,    2.585474,  7.43
   2.592211,  7.49,    2.592280,  7.33,    2.592373,  7.43,    2.592419,  7.43
   2.599155,  7.49,    2.599225,  7.32,    2.599317,  7.43,    2.599363,  7.42
   2.606100,  7.49,    2.606169,  7.34,    2.606261,  7.43,    2.606308,  7.43
   2.613044,  7.49,    2.613113,  7.34,    2.613206,  7.43,    2.613252,  7.44
   2.619988,  7.49,    2.620058,  7.33,    2.620151,  7.43,    2.620197,  7.42
   2.626933,  7.49,    2.627002,  7.33,    2.627095,  7.43,    2.627141,  7.43
   2.633877,  7.49,    2.633947,  7.33,    2.634039,  7.44,    2.634086,  7.44
   2.640822,  7.49,    2.640891,  7.34,    2.640984,  7.43,    2.641030,  7.41
   2.647766,  7.49,    2.647836,  7.33,    2.647928,  7.43,    2.647974,  7.43
   2.654711,  7.49,    2.654780,  7.33,    2.654873,  7.44,    2.654919,  7.44
   2.661655,  7.49,    2.661725,  7.33,    2.661817,  7.44,    2.661863,  7.41
   2.668600,  7.49,    2.668669,  7.34,    2.668761,  7.44,    2.668808,  7.42
   2.675544,  7.49,    2.675613,  7.33,    2.675706,  7.44,    2.675752,  7.44
   2.682488,  7.49,    2.682558,  7.33,    2.682651,  7.44,    2.682697,  7.42
   2.689433,  7.49,    2.689502,  7.33,    2.689595,  7.44,    2.689641,  7.43
   2.696377,  7.49,    2.696447,  7.34,    2.696539,  7.44,    2.696586,  7.43
   2.703322,  7.49,    2.703391,  7.33,    2.703484,  7.44,    2.703530,  7.43
   2.710266,  7.48,    2.710336,  7.33,    2.710428,  7.44,    2.710474,  7.42
   2.717211,  7.48,    2.717280,  7.34,    2.717373,  7.44,    2.717419,  7.43
   2.724155,  7.48,    2.724225,  7.34,    2.724317,  7.44,    2.724363,  7.44
   2.731100,  7.49,    2.731169,  7.34,    2.731261,  7.44,    2.731308,  7.42
   2.738044,  7.48,    2.738113,  7.33,    2.738206,  7.44,    2.738252,  7.43
   2.744988,  7.48,    2.745058,  7.34,    2.745151,  7.44,    2.745197,  7.44
   2.751933,  7.48,    2.752002,  7.34,    2.752095,  7.44,    2.752141,  7.42
   2.758877,  7.48,    2.758947,  7.34,    2.759039,  7.44,    2.759086,  7.43
   2.765822,  7.48,    2.765891,  7.33,    2.765984,  7.44,    2.766030,  7.44
   2.772766,  7.48,    2.772836,  7.33,    2.772928,  7.44,    2.772974,  7.42
   2.779711,  7.48,    2.779780,  7.34,    2.779873,  7.44,    2.779919,  7.42
   2.786655,  7.48,    2.786725,  7.34,    2.786817,  7.44,    2.786863,  7.44
   2.793600,  7.48,    2.793669,  7.32,    2.793761,  7.44,    2.793808,  7.42
   2.800544,  7.48,    2.800613,  7.33,    2.800706,  7.44,    2.800752,  7.41
   2.807488,  7.48,    2.807558,  7.33,    2.807651,  7.44,    2.807697,  7.43
   2.814433,  7.48,    2.814502,  7.34,    2.814595,  7.44,    2.814641,  7.42
   2.821377,  7.48,    2.821447,  7.33,    2.821539,  7.44,    2.821586,  7.42
   2.828322,  7.48,    2.828391,  7.32,    2.828484,  7.44,    2.828530,  7.42
   2.835266,  7.47,    2.835336,  7.33,    2.835428,  7.44,    2.835474,  7.43
   2.842211,  7.47,    2.842280,  7.33,    2.842373,  7.44,    2.842419,  7.41
   2.849155,  7.47,    2.849225,  7.32,    2.849317,  7.44,    2.849363,  7.43
   2.856100,  7.47,    2.856169,  7.32,    2.856261,  7.44,    2.856308,  7.43
   2.863044,  7.47,    2.863113,  7.32,    2.863206,  7.44,    2.863252,  7.41
   2.869988,  7.47,    2.870058,  7.33,    2.870151,  7.44,    2.870197,  7.41
   2.876933,  7.47,    2.877002,  7.32,    2.877095,  7.44,    2.877141,  7.43
   2.883877,  7.47,    2.883947,  7.32,    2.884039,  7.43,    2.884086,  7.40
   2.890822,  7.47,    2.890891,  7.31,    2.890984,  7.44,    2.891030,  7.41
   2.897766,  7.47,    2.897836,  7.32,    2.897928,  7.44,    2.897974,  7.41
   2.904711,  7.47,    2.904780,  7.32,    2.904873,  7.43,    2.904919,  7.40
   2.911655,  7.47,    2.911725,  7.31,    2.911817,  7.43,    2.911863,  7.41
   2.918600,  7.46,    2.918669,  7.30,    2.918761,  7.44,    2.918808,  7.41
   2.925544,  7.46,    2.925613,  7.31,    2.925706,  7.43,    2.925752,  7.40
   2.932488,  7.47,    2.932558,  7.31,    2.932651,  7.43,    2.932697,  7.39
   2.939433,  7.46,    2.936134,  7.30,    2.939595,  7.43,    2.939641,  7.41
   2.946377,  7.46,    2.936146,  7.30,    2.946539,  7.43,    2.946586,  7.40
   2.953322,  7.46,    2.936181,  7.30,    2.953484,  7.43,    2.953530,  7.39
   2.960266,  7.46,    2.939502,  7.30,    2.960428,  7.43,    2.960474,  7.40
   2.967211,  7.46,    2.944410,  7.30,    2.967373,  7.43,    2.967431,  7.40
   2.974155,  7.46,    2.944421,  7.30,    2.974317,  7.43,    2.974363,  7.39
   2.981100,  7.46,    2.944433,  7.30,    2.981261,  7.43,    2.981308,  7.40
   2.988044,  7.46,    2.946447,  7.29,    2.988206,  7.43,    2.988252,  7.40
   2.994988,  7.46,    2.953391,  7.30,    2.995151,  7.43,    2.995197,  7.38
   3.001933,  7.45,    2.960336,  7.31,    3.002095,  7.43,    3.002141,  7.38
